it n time energy barrier aux reached lf_min al_max
273 196 9.5509 0.4491 5.8983 0.8024 0.350 0.724 4.32
274 197 9.5707 0.4351 5.4780 0.8592 0.350 0.685 4.92
275 197 9.4619 0.4330 5.3288 0.8600 0.347 0.680 5.09
276 198 9.6838 0.4373 5.5997 0.8369 0.325 0.740 4.84
277 198 9.5665 0.4471 5.8041 0.7987 0.328 0.736 5.85
278 199 9.6529 0.4380 5.8001 0.9039 0.338 0.757 5.93
279 199 9.8163 0.4554 6.1747 0.8858 0.325 0.706 3.65
280 200 9.7339 0.4598 6.2341 0.8476 0.334 0.767 3.82
281 200 9.8522 0.4482 5.9283 0.8611 0.325 0.754 5.19
282 201 9.7800 0.4455 5.4341 0.9333 0.334 0.791 3.48
283 201 9.7686 0.4340 5.0484 0.8913 0.325 0.731 5.67
284 202 9.9422 0.4316 4.8262 0.7703 0.309 0.689 9.90
285 202 9.8623 0.4118 4.8280 0.8003 0.306 0.731 6.11
286 203 9.9425 0.4464 4.6154 0.8216 0.313 0.733 5.01
287 203 10.0070 0.4521 4.6187 0.7966 0.306 0.727 6.88
288 204 9.9143 0.4589 4.8336 0.7716 0.300 0.706 5.09
289 204 9.8955 0.4488 4.6833 0.7875 0.306 0.720 4.52
290 205 10.1426 0.4433 4.7498 0.8091 0.291 0.615 4.78
291 205 9.9440 0.4396 4.9619 0.7875 0.294 0.725 2.93
292 206 10.1434 0.4474 4.8796 0.8123 0.275 0.778 10.48
293 206 10.0927 0.4563 5.0009 0.8886 0.278 0.744 3.41
294 207 9.9379 0.4730 5.1458 0.8982 0.291 0.625 3.21
295 207 9.9399 0.4629 5.6924 0.8748 0.306 0.789 6.37
296 208 10.1678 0.4624 6.1261 0.8877 0.312 0.722 4.19
297 208 10.0773 0.4540 6.0197 0.9234 0.319 0.754 2.68
298 209 10.1442 0.4689 6.2397 0.8683 0.338 0.611 2.88
299 209 10.2790 0.4423 5.9189 0.8921 0.328 0.648 5.46
300 210 10.3248 0.4347 5.6620 0.8551 0.328 0.560 6.36
301 210 10.2509 0.4507 5.4988 0.9028 0.325 0.665 4.22
302 211 10.4526 0.4703 5.5929 0.9292 0.322 0.791 6.19
303 211 10.2277 0.4636 5.8479 0.9127 0.338 0.676 8.54
304 212 10.3300 0.4506 5.7293 0.8642 0.325 0.517 4.17
305 212 10.2081 0.4510 5.3950 0.9046 0.316 0.758 4.99
306 213 10.3516 0.4385 4.7294 0.8617 0.322 0.692 3.24
307 213 10.2133 0.4821 5.0998 0.8741 0.344 0.686 2.55
308 214 10.4226 0.4626 4.5476 0.8926 0.334 0.705 4.79
309 214 10.3609 0.4895 4.8247 0.9020 0.341 0.817 3.19
310 215 10.3670 0.4786 4.6782 0.9859 0.366 0.795 4.87
311 215 10.5828 0.4652 4.3512 0.9526 0.356 0.826 3.22
312 216 10.4626 0.4573 4.4912 0.8430 0.372 0.497 6.55
313 216 10.5458 0.4704 4.2949 0.8890 0.369 0.734 5.29
314 217 10.4805 0.4704 4.1263 0.9228 0.378 0.746 3.68
315 217 10.5246 0.4677 4.2748 0.9051 0.381 0.708 3.16
316 218 10.6925 0.4683 4.6332 0.9600 0.369 0.701 7.31
317 218 10.4866 0.4669 4.2322 0.9182 0.350 0.731 5.93
318 219 10.6934 0.4875 4.6056 0.9082 0.350 0.712 5.36
319 219 10.5984 0.4774 4.6980 0.8745 0.356 0.658 2.89
320 220 10.8422 0.4880 4.6299 0.9807 0.338 0.705 2.75
321 220 10.7667 0.4717 4.7793 0.9117 0.341 0.759 1.90
322 221 10.8117 0.4587 4.5387 0.9024 0.341 0.709 3.44
323 221 10.9107 0.4642 4.8023 0.9709 0.319 0.738 4.04
324 222 10.7760 0.4868 5.2340 0.9330 0.322 0.668 4.52
325 222 10.9496 0.4675 4.7775 0.8905 0.297 0.818 6.84
326 223 10.8931 0.5074 5.1303 0.9050 0.294 0.760 4.51
327 223 10.9627 0.4817 5.7550 0.9589 0.288 0.699 6.16
328 224 10.9194 0.4853 5.8205 0.9086 0.297 0.814 4.99
329 224 10.9718 0.4521 5.3273 0.9730 0.278 0.782 4.24
330 225 11.0144 0.4635 5.2460 0.9759 0.281 0.820 3.81
331 225 10.9337 0.4698 5.4799 0.8882 0.300 0.622 5.84
332 226 10.9871 0.4665 5.4935 0.9388 0.300 0.647 5.02
333 226 10.9072 0.4712 5.1663 0.9729 0.316 0.726 5.65
334 227 11.1813 0.4937 4.9668 0.8676 0.300 0.727 3.11
335 227 11.0991 0.4637 5.1856 0.9066 0.316 0.712 6.64
336 228 11.2502 0.4689 4.5811 0.9084 0.316 0.544 14.99
337 228 11.0658 0.4930 3.9069 0.9099 0.325 0.753 2.68
338 229 11.1751 0.5026 3.6585 0.9139 0.322 0.751 2.16
339 229 11.0201 0.5117 4.0033 0.9881 0.353 0.641 3.40
340 230 11.3426 0.4946 4.1425 0.9680 0.344 0.809 4.67
341 230 11.2468 0.4960 3.9125 0.9546 0.331 0.653 6.78
342 231 11.1567 0.4913 3.9842 1.0606 0.347 0.643 4.75
343 231 11.2220 0.4791 3.7769 0.9262 0.341 0.708 5.27
344 232 11.3162 0.5063 4.0118 0.9516 0.359 0.696 5.49
345 232 11.1115 0.4924 3.9478 1.0079 0.372 0.727 6.78
346 233 11.3711 0.5300 4.1330 0.9150 0.384 0.743 4.69
347 233 11.2485 0.4949 4.3816 0.9171 0.394 0.607 6.41
348 234 11.3063 0.5004 4.1402 1.0028 0.388 0.782 7.00
349 234 11.5664 0.4787 4.0349 0.9216 0.356 0.756 3.26
350 235 11.2052 0.4811 3.8422 0.9891 0.375 0.777 4.55
351 235 11.4184 0.4987 4.3715 1.0563 0.397 0.742 2.41
352 236 11.3674 0.4987 4.3125 0.9972 0.400 0.661 4.03
353 236 11.4323 0.5118 4.6267 0.9934 0.412 0.718 3.79
354 237 11.6436 0.4938 4.1340 0.9120 0.400 0.765 3.65
355 237 11.4377 0.4873 4.0736 0.9844 0.397 0.701 2.88
356 238 11.4220 0.5425 4.2836 0.9530 0.403 0.730 3.14
357 238 11.6558 0.4908 4.0041 0.9136 0.388 0.832 3.69
358 239 11.7462 0.5061 3.9564 0.9923 0.391 0.821 2.05
359 239 11.6859 0.5115 3.8304 1.0084 0.403 0.782 4.17
360 240 11.6712 0.5320 3.8849 1.0323 0.409 0.715 2.43
361 240 11.6365 0.4921 3.3067 0.9635 0.394 0.679 4.93
362 241 11.6799 0.5213 3.3094 1.0056 0.378 0.785 2.90
363 241 11.8312 0.5067 3.0563 0.8649 0.350 0.791 5.07
364 242 11.6652 0.5406 3.5974 1.0522 0.359 0.626 2.18
365 242 11.9651 0.5235 3.7245 1.0549 0.344 0.759 3.21
366 243 11.7848 0.5034 3.2169 0.9265 0.338 0.781 4.70
367 243 11.7961 0.5226 3.2294 1.0397 0.341 0.671 3.81
368 244 11.8375 0.5205 3.5066 0.9515 0.347 0.713 3.89
369 244 11.8913 0.5150 3.3658 0.9976 0.353 0.776 5.84
370 245 11.9757 0.5133 3.2948 1.0316 0.344 0.685 4.28
371 245 11.8056 0.5416 3.6815 0.9272 0.359 0.541 5.68
372 246 12.0233 0.5307 3.4779 0.9958 0.353 0.829 5.84
373 246 12.0182 0.5389 3.5476 1.0555 0.372 0.788 4.45
374 247 11.9232 0.5522 3.1360 1.1141 0.384 0.714 2.44
375 247 12.0757 0.5209 3.1103 1.0306 0.394 0.769 3.79
376 248 12.1658 0.5277 3.0208 1.0522 0.381 0.837 3.28
377 248 12.0378 0.5153 3.1233 1.0334 0.394 0.672 4.27
378 249 11.9850 0.5020 2.9069 1.0715 0.381 0.590 3.56
379 249 12.0744 0.5158 2.9104 1.1035 0.381 0.728 3.87
380 250 12.2127 0.5232 3.4291 1.0123 0.378 0.649 3.75
381 250 12.2455 0.5150 3.0105 1.0121 0.359 0.811 3.05
382 251 12.3899 0.5490 3.1726 1.0985 0.350 0.807 1.76
383 251 12.3328 0.5547 3.4144 1.0538 0.362 0.737 2.15
384 252 12.2951 0.5376 3.3051 1.0728 0.350 0.724 5.16
385 252 12.1247 0.5183 3.4469 1.0238 0.356 0.675 3.76
