it n time energy barrier aux reached lf_min al_max
279 199 9.5841 0.7971 11.5075 0.8932 0.266 0.575 3.65
280 200 9.5453 0.8442 10.9184 0.8486 0.272 0.475 4.49
281 200 9.7001 0.8309 10.7576 0.8605 0.253 0.534 3.36
282 201 9.9270 0.8628 10.5477 0.9228 0.234 0.630 10.57
283 201 9.7319 0.8036 10.2315 0.8894 0.253 0.622 4.51
284 202 9.8633 0.7573 9.9868 0.7620 0.272 0.544 4.73
285 202 9.6232 0.8289 10.0323 0.8120 0.288 0.549 3.74
286 203 9.7825 0.8678 9.7245 0.8153 0.287 0.601 4.74
287 203 9.8352 0.8225 9.4268 0.8040 0.275 0.686 1.86
288 204 9.8472 0.8074 9.0056 0.7758 0.287 0.623 4.98
289 204 9.9194 0.7877 9.2373 0.7966 0.275 0.526 14.99
290 205 10.0980 0.7963 9.9480 0.8194 0.266 0.629 5.02
291 205 9.9181 0.7944 10.6993 0.7844 0.275 0.471 3.23
292 206 10.0777 0.8416 10.4437 0.8061 0.281 0.704 7.70
293 206 10.1187 0.8226 10.5176 0.8956 0.263 0.642 2.48
294 207 10.1141 0.8078 10.2809 0.8994 0.253 0.642 3.19
295 207 10.0287 0.8160 10.4096 0.8818 0.253 0.631 5.28
296 208 9.9675 0.8904 10.2817 0.8936 0.247 0.653 10.18
297 208 10.0763 0.8142 10.5130 0.9245 0.256 0.659 1.99
298 209 10.0170 0.8306 11.5140 0.8753 0.266 0.541 5.64
299 209 9.9596 0.8268 11.3830 0.8980 0.281 0.556 5.70
300 210 10.3025 0.7867 10.7988 0.8638 0.284 0.527 3.08
301 210 10.3041 0.7725 10.5250 0.9083 0.281 0.569 12.38
302 211 10.2797 0.7518 10.6031 0.9305 0.281 0.674 6.08
303 211 10.0687 0.9132 10.9792 0.9141 0.300 0.592 8.25
304 212 10.2893 0.9055 11.2009 0.8682 0.300 0.536 4.04
305 212 10.2440 0.8827 11.1834 0.8986 0.291 0.527 3.31
306 213 10.3467 0.9085 10.8556 0.8526 0.291 0.637 3.24
307 213 10.3294 0.8459 11.8941 0.8790 0.287 0.533 1.99
308 214 10.3397 0.8714 11.3400 0.8962 0.284 0.603 4.05
309 214 10.3152 0.7943 11.7634 0.9078 0.275 0.654 3.12
310 215 10.5453 0.7841 12.1856 0.9926 0.281 0.656 4.80
311 215 10.2004 0.7383 11.5903 0.9571 0.281 0.593 3.23
312 216 10.4705 0.8317 12.3488 0.8513 0.300 0.434 6.78
313 216 10.5155 0.8448 12.0866 0.9021 0.291 0.485 10.52
314 217 10.6986 0.8589 11.9860 0.9191 0.278 0.645 3.07
315 217 10.4924 0.8165 12.2428 0.9073 0.288 0.501 14.90
316 218 10.4717 0.8117 13.0981 0.9675 0.303 0.554 6.14
317 218 10.4992 0.7754 12.2074 0.9300 0.306 0.650 5.32
318 219 10.6493 0.7822 12.3422 0.9198 0.306 0.595 5.40
319 219 10.6166 0.8496 11.8293 0.8832 0.303 0.508 6.40
320 220 10.6539 0.7973 11.4716 0.9909 0.291 0.604 2.93
321 220 10.6297 0.7315 11.8329 0.9136 0.294 0.634 2.06
322 221 10.7352 0.8345 11.3834 0.9048 0.281 0.591 2.35
323 221 10.6267 0.7929 12.1009 0.9763 0.281 0.575 6.22
324 222 10.8887 0.8835 12.4923 0.9295 0.291 0.506 11.21
325 222 10.9335 0.7574 11.8298 0.8970 0.266 0.670 7.85
326 223 10.9307 0.8110 11.6219 0.9144 0.244 0.513 5.19
327 223 10.7215 0.7546 11.7599 0.9543 0.241 0.580 4.41
328 224 10.6795 0.7940 11.7913 0.9208 0.256 0.671 14.90
329 224 10.9000 0.7113 11.4758 0.9786 0.250 0.634 5.01
330 225 11.0829 0.8307 11.3164 0.9854 0.250 0.616 2.58
331 225 10.8764 0.8684 11.8408 0.8883 0.256 0.488 4.64
332 226 11.0625 0.7956 11.7895 0.9339 0.259 0.471 4.39
333 226 10.8945 0.8162 10.9019 0.9711 0.269 0.599 3.66
334 227 11.1163 0.8288 10.7176 0.8709 0.272 0.613 2.57
335 227 11.0810 0.8703 11.3848 0.9179 0.284 0.528 4.23
336 228 11.0234 0.9301 11.1544 0.9089 0.284 0.457 3.22
337 228 11.1580 0.8183 10.9814 0.9120 0.281 0.660 1.89
338 229 11.1940 0.9027 11.1038 0.9075 0.266 0.663 1.66
339 229 11.0456 0.8825 11.5484 1.0018 0.281 0.470 5.88
340 230 11.3112 0.8085 11.5404 0.9703 0.281 0.592 4.07
341 230 11.1066 0.8129 10.6271 0.9744 0.281 0.608 5.21
342 231 11.2791 0.8899 10.7974 1.0685 0.281 0.517 14.99
343 231 11.1801 0.8138 10.5878 0.9277 0.275 0.566 3.16
344 232 11.1951 0.8186 11.1445 0.9501 0.294 0.574 15.00
345 232 11.2301 0.8794 10.8154 1.0160 0.294 0.580 6.27
346 233 11.3247 0.8477 11.5005 0.9059 0.306 0.531 4.46
347 233 11.1979 0.8069 11.9790 0.9251 0.325 0.497 6.58
348 234 11.1796 0.8522 11.8500 1.0084 0.325 0.652 4.54
349 234 11.2418 0.8166 11.9198 0.9235 0.325 0.632 3.47
350 235 11.3526 0.8712 12.6742 0.9868 0.347 0.689 4.84
351 235 11.3680 0.8871 13.6204 1.0706 0.350 0.567 4.30
352 236 11.5674 0.9196 13.7784 1.0036 0.353 0.554 4.31
353 236 11.5917 0.8810 14.2586 0.9967 0.347 0.567 2.93
354 237 11.3866 0.8390 13.7195 0.9138 0.337 0.652 3.00
355 237 11.5871 0.9223 14.0072 0.9910 0.344 0.617 3.01
356 238 11.5381 0.8560 14.1883 0.9594 0.350 0.469 4.20
357 238 11.3519 0.8151 13.6611 0.9182 0.337 0.698 3.59
358 239 11.6109 0.8261 13.6931 0.9954 0.344 0.686 8.88
359 239 11.5159 0.8764 13.2969 1.0083 0.331 0.623 6.78
360 240 11.7094 0.8799 13.0157 1.0320 0.322 0.657 4.66
361 240 11.6543 0.8518 12.4746 0.9657 0.316 0.646 3.75
362 241 11.8446 0.8920 12.5328 1.0173 0.309 0.589 2.61
363 241 11.8602 0.7863 12.2956 0.8626 0.306 0.693 2.05
364 242 11.9309 0.8426 12.4939 1.0760 0.294 0.579 5.23
365 242 11.8004 0.8911 12.2559 1.0538 0.284 0.697 2.52
366 243 11.5968 0.8454 11.3410 0.9250 0.284 0.638 4.73
367 243 11.9283 0.9227 11.7150 1.0456 0.284 0.565 9.45
368 244 11.6821 0.8974 11.9207 0.9537 0.284 0.596 10.41
369 244 11.9640 0.8511 12.0074 1.0082 0.281 0.624 1.42
370 245 11.7626 0.9598 11.5043 1.0347 0.284 0.548 2.89
371 245 11.9147 0.8811 11.8529 0.9305 0.284 0.486 5.51
372 246 12.1415 0.8199 11.0872 1.0055 0.278 0.662 1.63
373 246 12.1568 0.8611 10.8229 1.0593 0.272 0.676 3.03
374 247 12.0996 0.8336 10.5177 1.1037 0.278 0.628 2.47
375 247 11.7714 0.7587 11.0906 1.0312 0.306 0.613 6.00
376 248 12.0061 0.7774 10.8282 1.0659 0.303 0.627 2.24
377 248 12.3566 0.9918 10.4258 1.0396 0.281 0.575 4.27
378 249 11.8624 0.8923 9.7522 1.0712 0.275 0.504 3.89
379 249 12.0238 0.8925 10.3107 1.1140 0.284 0.721 5.66
380 250 12.0486 0.9223 11.3135 1.0203 0.281 0.574 14.95
381 250 12.0856 0.9016 11.2180 1.0176 0.281 0.645 3.25
382 251 12.3471 0.8239 12.0326 1.1035 0.278 0.652 0.95
383 251 12.2677 0.9370 13.2436 1.0428 0.303 0.594 2.76
384 252 12.2045 0.9019 13.2345 1.0783 0.306 0.625 5.45
385 252 12.1288 0.8642 13.0730 1.0302 0.303 0.528 5.23
