it n time energy barrier aux reached lf_min al_max
335 227 47.4595 0.9916 7.8961 0.9179 0.638 0.515 11.23
336 228 46.9910 0.9798 7.7863 0.9089 0.638 0.456 13.20
337 228 45.0018 1.0231 7.8092 0.9120 0.641 0.524 10.42
338 229 45.8426 1.0099 8.0799 0.9075 0.644 0.431 11.72
339 229 45.2310 1.0066 8.2772 1.0018 0.659 0.468 15.00
340 230 45.4798 1.1000 8.2716 0.9703 0.662 0.291 10.33
341 230 44.6412 1.0771 7.8537 0.9744 0.656 0.655 13.65
342 231 47.4382 1.0124 7.8559 1.0685 0.659 0.374 9.55
343 231 46.8677 1.1032 7.7114 0.9277 0.638 0.597 7.36
344 232 47.2316 1.0957 8.2714 0.9501 0.638 0.444 6.97
345 232 45.9587 1.0280 8.2725 1.0160 0.638 0.541 10.77
346 233 47.5410 1.0861 8.6552 0.9059 0.628 0.496 10.21
347 233 44.2960 1.0857 8.7935 0.9251 0.631 0.500 12.52
348 234 44.8282 1.0922 8.6902 1.0084 0.631 0.603 14.97
349 234 46.9598 1.1341 8.7804 0.9235 0.631 0.579 9.03
350 235 43.0828 1.1022 8.7259 0.9868 0.650 0.513 10.24
351 235 46.2742 1.1006 8.8826 1.0706 0.647 0.621 13.31
352 236 49.7499 1.0564 8.6253 1.0036 0.638 0.659 11.88
353 236 48.7426 1.0950 8.9182 0.9967 0.650 0.533 10.29
354 237 46.5071 1.1275 8.5497 0.9138 0.644 0.408 8.27
355 237 51.1755 1.0410 8.6119 0.9910 0.625 0.570 9.27
356 238 48.3095 1.1123 8.5378 0.9594 0.609 0.579 10.03
357 238 46.2717 1.2043 8.2178 0.9182 0.597 0.605 7.59
358 239 48.3920 1.1769 8.0658 0.9954 0.588 0.522 6.85
359 239 47.3065 1.1671 7.8675 1.0083 0.563 0.521 12.45
360 240 44.5612 1.1527 7.8296 1.0320 0.544 0.455 8.54
361 240 45.8101 1.1328 7.8381 0.9657 0.569 0.585 13.32
362 241 48.4897 1.1796 8.3487 1.0173 0.581 0.429 10.23
363 241 46.2636 1.3101 8.3866 0.8626 0.597 0.499 10.31
364 242 48.1249 1.2535 8.6209 1.0760 0.603 0.378 8.45
365 242 50.2118 1.1940 8.8928 1.0538 0.625 0.597 14.98
366 243 44.3210 1.2856 8.8242 0.9250 0.656 0.512 9.41
367 243 50.5310 1.2910 9.4222 1.0456 0.650 0.266 15.00
368 244 51.5654 1.2781 9.7086 0.9537 0.647 0.521 12.61
369 244 51.7367 1.2643 9.7635 1.0082 0.653 0.429 9.24
370 245 53.3197 1.2718 9.7486 1.0347 0.650 0.402 9.77
371 245 48.0543 1.2974 10.0128 0.9305 0.650 0.496 11.43
372 246 47.0854 1.3839 9.7673 1.0055 0.656 0.320 14.25
373 246 51.0862 1.3669 9.5790 1.0593 0.644 0.426 9.08
374 247 48.6392 1.3827 9.2381 1.1037 0.653 0.633 10.82
375 247 44.3464 1.3919 9.2393 1.0312 0.678 0.350 12.01
376 248 45.3600 1.4158 9.0336 1.0659 0.691 0.519 14.98
377 248 53.8820 1.2568 8.5962 1.0396 0.712 0.445 13.89
378 249 48.8895 1.3728 8.4455 1.0712 0.728 0.435 13.62
379 249 47.7587 1.3662 8.5303 1.1140 0.741 0.536 12.33
380 250 52.2321 1.2663 8.8910 1.0203 0.753 0.238 12.24
381 250 48.6350 1.3537 8.6824 1.0176 0.728 0.395 9.52
382 251 49.8778 1.4337 8.8520 1.1035 0.700 0.373 7.77
383 251 50.1583 1.2432 9.3364 1.0428 0.675 0.402 13.18
384 252 50.4196 1.4100 9.3230 1.0783 0.653 0.549 7.03
385 252 50.5008 1.3155 9.3321 1.0302 0.631 0.558 11.87
