V alpha_deg Tr h feas
5.500 -5.00 19.7 -40.003 0
5.500 -5.00 29.5 -30.207 0
5.500 -5.00 39.3 -20.411 0
5.500 -5.00 49.2 -10.615 0
5.500 -5.00 59.0 -0.819 0
5.500 -5.00 68.8 8.976 0
5.500 -5.00 78.7 18.772 1
5.500 -5.00 88.5 28.568 1
5.500 -5.00 98.3 38.364 1
5.500 -5.00 108.2 48.160 1
5.500 -5.00 118.0 57.956 1
5.500 -4.00 0.0 -58.858 0
5.500 -4.00 9.8 -49.049 0
5.500 -4.00 19.7 -39.239 0
5.500 -4.00 29.5 -29.430 0
5.500 -4.00 39.3 -19.621 0
5.500 -4.00 49.2 -9.811 0
5.500 -4.00 59.0 -0.002 0
5.500 -4.00 68.8 9.808 1
5.500 -4.00 78.7 19.617 1
5.500 -4.00 88.5 29.426 1
5.500 -4.00 98.3 39.236 1
5.500 -4.00 108.2 49.045 1
5.500 -4.00 118.0 58.854 1
5.500 -3.00 0.0 -58.121 0
5.500 -3.00 9.8 -48.301 0
5.500 -3.00 19.7 -38.481 0
5.500 -3.00 29.5 -28.662 0
5.500 -3.00 39.3 -18.842 0
5.500 -3.00 49.2 -9.022 0
5.500 -3.00 59.0 0.798 0
5.500 -3.00 68.8 10.618 1
5.500 -3.00 78.7 20.438 1
5.500 -3.00 88.5 30.258 1
5.500 -3.00 98.3 40.077 1
5.500 -3.00 108.2 49.897 1
5.500 -3.00 118.0 59.717 1
5.500 -2.00 0.0 -57.384 0
5.500 -2.00 9.8 -47.557 0
5.500 -2.00 19.7 -37.730 0
5.500 -2.00 29.5 -27.902 0
5.500 -2.00 39.3 -18.075 0
5.500 -2.00 49.2 -8.248 0
5.500 -2.00 59.0 1.580 0
5.500 -2.00 68.8 11.407 1
5.500 -2.00 78.7 21.234 1
5.500 -2.00 88.5 31.062 1
5.500 -2.00 98.3 40.889 1
5.500 -2.00 108.2 50.716 1
5.500 -2.00 118.0 60.544 1
5.500 -1.00 0.0 -56.647 0
5.500 -1.00 9.8 -46.816 0
5.500 -1.00 19.7 -36.984 0
5.500 -1.00 29.5 -27.152 0
5.500 -1.00 39.3 -17.320 0
5.500 -1.00 49.2 -7.488 0
5.500 -1.00 59.0 2.344 0
5.500 -1.00 68.8 12.175 1
5.500 -1.00 78.7 22.007 1
5.500 -1.00 88.5 31.839 1
5.500 -1.00 98.3 41.671 1
5.500 -1.00 108.2 51.503 1
5.500 -1.00 118.0 61.335 1
5.500 0.00 0.0 -55.911 0
5.500 0.00 9.8 -46.077 0
5.500 0.00 19.7 -36.244 0
5.500 0.00 29.5 -26.411 0
5.500 0.00 39.3 -16.577 0
5.500 0.00 49.2 -6.744 0
5.500 0.00 59.0 3.089 0
5.500 0.00 68.8 12.923 1
5.500 0.00 78.7 22.756 1
5.500 0.00 88.5 32.589 1
5.500 0.00 98.3 42.423 1
5.500 0.00 108.2 52.256 1
5.500 0.00 118.0 62.089 1
5.500 1.00 0.0 -55.468 0
5.500 1.00 9.8 -45.637 0
5.500 1.00 19.7 -35.805 0
5.500 1.00 29.5 -25.973 0
5.500 1.00 39.3 -16.141 0
5.500 1.00 49.2 -6.309 0
5.500 1.00 59.0 3.523 0
5.500 1.00 68.8 13.354 1
5.500 1.00 78.7 23.186 1
5.500 1.00 88.5 33.018 1
5.500 1.00 98.3 42.850 1
5.500 1.00 108.2 52.682 1
5.500 1.00 118.0 62.514 1
5.500 2.00 0.0 -55.026 0
5.500 2.00 9.8 -45.199 0
5.500 2.00 19.7 -35.372 0
5.500 2.00 29.5 -25.544 0
