param truth est truth_n est_n
kappa 2.16915 2.67981 -0.3065 0.5563
kappa 3.22955 2.64291 0.1829 -0.8013
kappa 3.60546 2.64173 0.3564 -0.8447
kappa 4.19671 2.63477 0.6292 -1.1008
kappa 1.71606 2.69195 -0.5157 1.0032
kappa 3.46215 2.64287 0.2902 -0.8027
kappa 0.91842 2.70893 -0.8838 1.6281
kappa 0.94750 2.70400 -0.8704 1.4465
kappa 0.90654 2.70700 -0.8893 1.5570
kappa 1.17095 2.70342 -0.7673 1.4255
kappa 4.05428 2.63810 0.5635 -0.9785
kappa 2.27377 2.66939 -0.2583 0.1731
kappa 2.80222 2.65350 -0.0144 -0.4117
kappa 2.62057 2.65865 -0.0982 -0.2221
kappa 1.56397 2.68560 -0.5859 0.7694
kappa 0.86503 2.71365 -0.9084 1.8016
kappa 1.45460 2.68721 -0.6363 0.8287
kappa 4.38593 2.64645 0.7166 -0.6713
kappa 2.13407 2.66681 -0.3227 0.0780
kappa 2.48899 2.66814 -0.1589 0.1270
kappa 1.81241 2.67591 -0.4712 0.4130
kappa 3.87858 2.64490 0.4824 -0.7281
kappa 3.71025 2.63837 0.4047 -0.9686
kappa 2.32993 2.65420 -0.2323 -0.3861
kappa 2.86100 2.64859 0.0128 -0.5926
kappa 2.38186 2.65349 -0.2084 -0.4122
kappa 3.15108 2.64658 0.1467 -0.6662
kappa 3.23889 2.65484 0.1872 -0.3623
kappa 3.16894 2.64061 0.1549 -0.8861
kappa 4.57352 2.63441 0.8032 -1.1142
kappa 4.78441 2.63503 0.9005 -1.0914
kappa 0.88939 2.70558 -0.8972 1.5049
kappa 2.31224 2.66921 -0.2405 0.1666
kappa 0.84151 2.70159 -0.9193 1.3580
kappa 2.29030 2.66609 -0.2506 0.0515
kappa 4.14661 2.62920 0.6061 -1.3061
kappa 3.61114 2.64167 0.3590 -0.8472
kappa 3.12511 2.65401 0.1347 -0.3930
kappa 1.04064 2.70785 -0.8274 1.5884
kappa 4.18260 2.63417 0.6227 -1.1230
kappa 3.32057 2.65303 0.2249 -0.4289
kappa 1.97808 2.67587 -0.3947 0.4115
kappa 4.06977 2.62646 0.5707 -1.4067
kappa 0.83594 2.71719 -0.9219 1.9319
kappa 1.47936 2.68263 -0.6249 0.6603
kappa 4.08619 2.63886 0.5782 -0.9505
kappa 0.86558 2.72673 -0.9082 2.2830
kappa 1.23931 2.69880 -0.7357 1.2553
kappa 2.84034 2.65836 0.0032 -0.2328
kappa 3.74386 2.63978 0.4202 -0.9166
kappa 3.22012 2.65354 0.1785 -0.4103
kappa 0.82675 2.70969 -0.9261 1.6559
kappa 1.85747 2.68725 -0.4504 0.8301
kappa 3.72690 2.63661 0.4124 -1.0331
kappa 2.17636 2.67124 -0.3032 0.2412
kappa 1.50828 2.68211 -0.6116 0.6412
kappa 0.67653 2.73056 -0.9954 2.4242
kappa 1.80508 2.68757 -0.4746 0.8419
kappa 4.70003 2.63327 0.8616 -1.1563
kappa 0.88135 2.72546 -0.9009 2.2364
kappa 3.06363 2.65968 0.1063 -0.1842
kappa 4.60860 2.63580 0.8194 -1.0629
kappa 3.70261 2.63231 0.4012 -1.1914
kappa 1.88422 2.66804 -0.4381 0.1232
kappa 3.47719 2.65769 0.2972 -0.2574
kappa 1.18405 2.69540 -0.7612 1.1302
kappa 2.82854 2.63581 -0.0022 -1.0627
kappa 1.80727 2.68260 -0.4736 0.6592
kappa 4.46125 2.64123 0.7513 -0.8633
kappa 4.41921 2.62241 0.7319 -1.5557
kappa 3.96793 2.62336 0.5237 -1.5209
kappa 2.29410 2.65628 -0.2489 -0.3095
kappa 4.12006 2.63802 0.5939 -0.9812
kappa 4.91275 2.62077 0.9597 -1.6162
kappa 2.26758 2.66392 -0.2611 -0.0281
kappa 2.94251 2.63866 0.0504 -0.9579
kappa 1.37056 2.69020 -0.6751 0.9390
kappa 1.13610 2.69726 -0.7833 1.1987
kappa 3.78728 2.63658 0.4403 -1.0343
kappa 0.92788 2.70678 -0.8794 1.5491
kappa 3.27253 2.64427 0.2027 -0.7515
kappa 1.15899 2.68288 -0.7728 0.6693
kappa 3.56579 2.65094 0.3381 -0.5059
kappa 3.93164 2.64317 0.5069 -0.7919
g 0.99409 0.95355 0.8818 0.1170
g 0.93899 0.95351 -0.2202 -0.0758
g 0.93895 0.95337 -0.2210 -0.6328
g 0.93996 0.95364 -0.2007 0.4619
g 0.97058 0.95325 0.4116 -1.1110
g 0.97877 0.95382 0.5754 1.1839
g 0.91157 0.95357 -0.7685 0.1951
g 0.93248 0.95311 -0.3505 -1.7090
g 0.90552 0.95364 -0.8895 0.4824
g 0.92349 0.95352 -0.5302 -0.0321
g 0.97337 0.95303 0.4675 -2.0214
g 0.99368 0.95370 0.8736 0.7258
g 0.99803 0.95370 0.9607 0.7284
g 0.90682 0.95374 -0.8637 0.8878
g 0.94019 0.95353 -0.1962 0.0223
g 0.98724 0.95402 0.7449 2.0362
g 0.95048 0.95361 0.0096 0.3406
g 0.93495 0.95353 -0.3010 0.0128
g 0.97824 0.95376 0.5647 0.9408
g 0.98643 0.95352 0.7287 -0.0258
g 0.91459 0.95341 -0.7081 -0.4602
g 0.95172 0.95375 0.0343 0.9232
g 0.91472 0.95298 -0.7056 -2.2193
g 0.91802 0.95323 -0.6396 -1.2193
g 0.95307 0.95350 0.0613 -0.1183
g 0.92528 0.95341 -0.4944 -0.4671
g 0.98050 0.95374 0.6101 0.8812
g 0.93654 0.95359 -0.2692 0.2764
g 0.91813 0.95345 -0.6374 -0.3272
g 0.96292 0.95369 0.2585 0.6591
g 0.92620 0.95366 -0.4759 0.5432
g 0.90664 0.95307 -0.8672 -1.8808
g 0.99991 0.95361 0.9982 0.3413
g 0.91843 0.95259 -0.6315 -3.8210
g 0.91313 0.95334 -0.7374 -0.7719
g 0.94806 0.95338 -0.0389 -0.5837
g 0.90040 0.95352 -0.9921 -0.0282
g 0.97893 0.95387 0.5787 1.4024
g 0.90752 0.95367 -0.8496 0.5935
g 0.90395 0.95365 -0.9209 0.5078
g 0.99660 0.95392 0.9321 1.6193
g 0.95167 0.95358 0.0335 0.2308
g 0.99288 0.95388 0.8575 1.4370
g 0.98971 0.95375 0.7942 0.9291
g 0.97340 0.95370 0.4680 0.7079
g 0.90297 0.95374 -0.9407 0.8717
g 0.96438 0.95355 0.2875 0.0831
g 0.90650 0.95301 -0.8699 -2.1012
g 0.90107 0.95386 -0.9787 1.3489
g 0.98444 0.95334 0.6888 -0.7536
g 0.93068 0.95375 -0.3864 0.9198
g 0.97472 0.95330 0.4943 -0.9338
g 0.95298 0.95374 0.0596 0.8634
g 0.97841 0.95368 0.5682 0.6279
g 0.96398 0.95378 0.2796 1.0333
g 0.99728 0.95333 0.9455 -0.8168
g 0.94748 0.95311 -0.0505 -1.7143
g 0.98532 0.95369 0.7064 0.6899
g 0.98218 0.95371 0.6436 0.7524
g 0.95867 0.95318 0.1734 -1.4107
g 0.95063 0.95348 0.0127 -0.1852
g 0.94302 0.95379 -0.1397 1.0973
g 0.96460 0.95299 0.2921 -2.1947
g 0.91958 0.95340 -0.6083 -0.5303
g 0.94392 0.95360 -0.1216 0.2845
g 0.96471 0.95365 0.2942 0.5044
g 0.93074 0.95372 -0.3853 0.7777
g 0.92167 0.95318 -0.5666 -1.4356
g 0.91063 0.95363 -0.7873 0.4089
g 0.98045 0.95352 0.6090 -0.0197
g 0.98757 0.95383 0.7515 1.2427
g 0.98340 0.95374 0.6680 0.8825
